K=15 | ORIGINAL unique_books: 821
K=15 | n25 unique_books: 831
K=15 | n50 unique_books: 827
K=15 | n100 unique_books: 828
K=15 | n200 unique_books: 799

K=25 | ORIGINAL unique_books: 841
K=25 | n25 unique_books: 849
K=25 | n50 unique_books: 843
K=25 | n100 unique_books: 845
K=25 | n200 unique_books: 835

K=35 | ORIGINAL unique_books: 847
K=35 | n25 unique_books: 853
K=35 | n50 unique_books: 849
K=35 | n100 unique_books: 851
K=35 | n200 unique_books: 843
