K=15 | ORIGINAL: 100.00%
K=15 | n25: 139.95%
K=15 | n50: 127.93%
K=15 | n100: 107.05%
K=15 | n200: 75.97%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 139.08%
K=25 | n50: 127.88%
K=25 | n100: 109.00%
K=25 | n200: 79.85%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 138.61%
K=35 | n50: 128.53%
K=35 | n100: 110.62%
K=35 | n200: 82.99%
