K=15 | ORIGINAL: 100.00%
K=15 | n25: 91.05%
K=15 | n50: 86.46%
K=15 | n100: 80.68%
K=15 | n200: 69.59%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 91.62%
K=25 | n50: 87.56%
K=25 | n100: 82.08%
K=25 | n200: 71.21%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 91.76%
K=35 | n50: 88.18%
K=35 | n100: 82.37%
K=35 | n200: 71.99%
