K=15 | ORIGINAL: 100.00%
K=15 | n25: 145.24%
K=15 | n50: 133.56%
K=15 | n100: 109.83%
K=15 | n200: 85.48%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 144.87%
K=25 | n50: 133.77%
K=25 | n100: 112.61%
K=25 | n200: 89.19%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 144.55%
K=35 | n50: 134.23%
K=35 | n100: 114.12%
K=35 | n200: 91.86%
