K=15 | ORIGINAL: 100.00%
K=15 | n25: 144.65%
K=15 | n50: 133.65%
K=15 | n100: 109.19%
K=15 | n200: 77.70%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 143.67%
K=25 | n50: 133.95%
K=25 | n100: 112.01%
K=25 | n200: 82.36%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 142.93%
K=35 | n50: 134.14%
K=35 | n100: 113.59%
K=35 | n200: 85.50%
