K=15 | ORIGINAL unique_books: 313
K=15 | n25 unique_books: 318
K=15 | n50 unique_books: 312
K=15 | n100 unique_books: 316
K=15 | n200 unique_books: 302

K=25 | ORIGINAL unique_books: 319
K=25 | n25 unique_books: 323
K=25 | n50 unique_books: 326
K=25 | n100 unique_books: 325
K=25 | n200 unique_books: 320

K=35 | ORIGINAL unique_books: 327
K=35 | n25 unique_books: 326
K=35 | n50 unique_books: 327
K=35 | n100 unique_books: 326
K=35 | n200 unique_books: 327
