Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Adventure,ORIGINAL,15,2.866539,5.780333,4.065271
Adventure,25,15,2.775382,5.639860,4.115521
Adventure,50,15,2.294400,5.651088,4.088101
Adventure,100,15,2.770553,5.694780,4.051409
Adventure,200,15,2.541929,5.696420,4.034713
Adventure,ORIGINAL,25,4.896320,5.646661,4.079360
Adventure,25,25,4.920466,5.550245,4.121936
Adventure,50,25,4.237777,5.556221,4.099894
Adventure,100,25,4.921215,5.587909,4.068024
Adventure,200,25,4.590989,5.578240,4.060823
Adventure,ORIGINAL,35,6.986429,5.554832,4.090627
Adventure,25,35,7.139675,5.484134,4.125494
Adventure,50,35,6.279144,5.486174,4.106896
Adventure,100,35,7.091438,5.515305,4.076568
Adventure,200,35,6.706742,5.501850,4.073032
