Cluster 2 - Average Entropy per Bin (0_40_80_120_1990)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1990	rec_entropy_80_1990	rec_entropy_120_1990
1	31	1.1232	1.1866	1.1864	1.1912	1.1912
2	31	1.1788	1.1709	1.1896	1.1896	1.1896
3	31	1.2395	1.3265	1.3453	1.3453	1.3453
4	31	1.2938	1.3109	1.3159	1.3159	1.3159
5	31	1.3402	1.3921	1.3963	1.3963	1.3963
6	31	1.3896	1.3694	1.3901	1.3901	1.3901
7	31	1.4602	1.4809	1.4809	1.4809	1.4809
8	31	1.5247	1.5194	1.5210	1.5210	1.5210
9	31	1.6208	1.5944	1.6176	1.6176	1.6176
10	35	1.7707	1.7012	1.6962	1.6962	1.6962
