Cluster 1 - Average Entropy per Bin (0_40_80_120_1950)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1950	rec_entropy_80_1950	rec_entropy_120_1950
1	31	0.3691	0.3363	0.3442	0.3442	0.3442
2	31	0.4988	0.6167	0.6031	0.6031	0.6031
3	31	0.5871	0.8012	0.7857	0.7857	0.7857
4	31	0.6708	0.8085	0.7871	0.7869	0.7837
5	31	0.7494	0.8428	0.8606	0.8606	0.8606
6	31	0.8223	0.9293	0.9136	0.9136	0.9136
7	31	0.8790	0.9297	0.9163	0.9095	0.9095
8	31	0.9326	1.0126	0.9794	0.9794	0.9794
9	31	0.9875	1.0325	1.0675	1.0675	1.0675
10	35	1.0541	1.1242	1.1312	1.1322	1.1322
