Cluster 1 - Average Entropy per Bin (0_40_80_120_1990)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1990	rec_entropy_80_1990	rec_entropy_120_1990
1	31	0.3691	0.3363	0.3584	0.3584	0.3584
2	31	0.4988	0.6167	0.6373	0.6373	0.6373
3	31	0.5871	0.8012	0.8145	0.8145	0.8145
4	31	0.6708	0.8085	0.7960	0.7960	0.7960
5	31	0.7494	0.8428	0.8601	0.8601	0.8601
6	31	0.8223	0.9293	0.9545	0.9545	0.9545
7	31	0.8790	0.9297	0.9122	0.9122	0.9122
8	31	0.9326	1.0126	1.0064	1.0064	1.0064
9	31	0.9875	1.0325	1.0530	1.0530	1.0530
10	35	1.0541	1.1242	1.1076	1.1076	1.1076
