Cluster 2 - Average Entropy per Bin (0_40_80_120_1920)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1920	rec_entropy_80_1920	rec_entropy_120_1920
1	31	1.1232	1.1866	1.1885	1.1904	1.1744
2	31	1.1788	1.1709	1.1713	1.1806	1.1820
3	31	1.2395	1.3265	1.3222	1.3225	1.3302
4	31	1.2938	1.3109	1.3175	1.3221	1.3166
5	31	1.3402	1.3921	1.3848	1.3698	1.3735
6	31	1.3896	1.3694	1.3762	1.3945	1.3932
7	31	1.4602	1.4809	1.4752	1.4832	1.4730
8	31	1.5247	1.5194	1.5142	1.5227	1.5162
9	31	1.6208	1.5944	1.5972	1.6221	1.6176
10	35	1.7707	1.7012	1.7016	1.6945	1.6884
