Cluster 0 - Average Entropy per Bin (0_40_80_120_1990)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1990	rec_entropy_80_1990	rec_entropy_120_1990
1	31	0.0000	0.0793	0.0684	0.0684	0.0684
2	31	0.0000	0.0757	0.0793	0.0793	0.0793
3	31	0.0000	0.0523	0.0612	0.0612	0.0612
4	31	0.0000	0.0648	0.0702	0.0702	0.0702
5	31	0.0000	0.0685	0.0737	0.0737	0.0737
6	31	0.0389	0.1112	0.1114	0.1114	0.1114
7	31	0.1117	0.1634	0.1439	0.1439	0.1439
8	31	0.1452	0.1386	0.1370	0.1370	0.1370
9	31	0.1817	0.2621	0.2490	0.2490	0.2490
10	36	0.2510	0.2124	0.1879	0.1879	0.1879
