Cluster 1 - Average Entropy per Bin (0_40_80_120_1920)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1920	rec_entropy_80_1920	rec_entropy_120_1920
1	31	0.3691	0.3363	0.3486	0.3407	0.3445
2	31	0.4988	0.6167	0.6359	0.6320	0.6277
3	31	0.5871	0.8012	0.8092	0.8004	0.7955
4	31	0.6708	0.8085	0.8083	0.7957	0.7972
5	31	0.7494	0.8428	0.8426	0.8657	0.8559
6	31	0.8223	0.9293	0.9336	0.9347	0.9372
7	31	0.8790	0.9297	0.9296	0.9265	0.9116
8	31	0.9326	1.0126	1.0225	0.9985	1.0042
9	31	0.9875	1.0325	1.0517	1.0350	1.0289
10	35	1.0541	1.1242	1.1273	1.1241	1.1296
