K=15 | ORIGINAL unique_books: 697
K=15 | n25 unique_books: 705
K=15 | n50 unique_books: 698
K=15 | n100 unique_books: 699
K=15 | n200 unique_books: 700

K=25 | ORIGINAL unique_books: 736
K=25 | n25 unique_books: 737
K=25 | n50 unique_books: 737
K=25 | n100 unique_books: 737
K=25 | n200 unique_books: 742

K=35 | ORIGINAL unique_books: 753
K=35 | n25 unique_books: 755
K=35 | n50 unique_books: 754
K=35 | n100 unique_books: 750
K=35 | n200 unique_books: 758
