primary_ Fantasy | K=25 | 25: total=239066, users=53424, mean_per_user=4.4749
primary_ Fantasy | K=25 | 50: total=219713, users=53424, mean_per_user=4.1126
primary_ Fantasy | K=25 | 100: total=195386, users=53424, mean_per_user=3.6573
primary_ Fantasy | K=25 | 200: total=154704, users=53424, mean_per_user=2.8958
primary_ Fantasy | K=35 | ORIGINAL: total=368910, users=53424, mean_per_user=6.9053
primary_ Fantasy | K=35 | 25: total=337827, users=53424, mean_per_user=6.3235
primary_ Fantasy | K=35 | 50: total=311878, users=53424, mean_per_user=5.8378
primary_ Fantasy | K=35 | 100: total=279672, users=53424, mean_per_user=5.2350
primary_ Fantasy | K=35 | 200: total=223711, users=53424, mean_per_user=4.1875
primary_ Historical | K=15 | ORIGINAL: total=93870, users=53424, mean_per_user=1.7571
primary_ Historical | K=15 | 25: total=87715, users=53424, mean_per_user=1.6419
primary_ Historical | K=15 | 50: total=84638, users=53424, mean_per_user=1.5843
primary_ Historical | K=15 | 100: total=79033, users=53424, mean_per_user=1.4794
primary_ Historical | K=15 | 200: total=68311, users=53424, mean_per_user=1.2787
primary_ Historical | K=25 | ORIGINAL: total=154507, users=53424, mean_per_user=2.8921
primary_ Historical | K=25 | 25: total=144134, users=53424, mean_per_user=2.6979
primary_ Historical | K=25 | 50: total=138896, users=53424, mean_per_user=2.5999
primary_ Historical | K=25 | 100: total=130030, users=53424, mean_per_user=2.4339
primary_ Historical | K=25 | 200: total=113583, users=53424, mean_per_user=2.1261
primary_ Historical | K=35 | ORIGINAL: total=214187, users=53424, mean_per_user=4.0092
primary_ Historical | K=35 | 25: total=199738, users=53424, mean_per_user=3.7387
primary_ Historical | K=35 | 50: total=193199, users=53424, mean_per_user=3.6163
primary_ Historical | K=35 | 100: total=181105, users=53424, mean_per_user=3.3900
primary_ Historical | K=35 | 200: total=158944, users=53424, mean_per_user=2.9751
primary_ Horror | K=15 | ORIGINAL: total=53076, users=53424, mean_per_user=0.9935
primary_ Horror | K=15 | 25: total=49392, users=53424, mean_per_user=0.9245
primary_ Horror | K=15 | 50: total=46989, users=53424, mean_per_user=0.8795
primary_ Horror | K=15 | 100: total=43122, users=53424, mean_per_user=0.8072
primary_ Horror | K=15 | 200: total=38360, users=53424, mean_per_user=0.7180
primary_ Horror | K=25 | ORIGINAL: total=87615, users=53424, mean_per_user=1.6400
primary_ Horror | K=25 | 25: total=81716, users=53424, mean_per_user=1.5296
primary_ Horror | K=25 | 50: total=78878, users=53424, mean_per_user=1.4765
primary_ Horror | K=25 | 100: total=72420, users=53424, mean_per_user=1.3556
primary_ Horror | K=25 | 200: total=64380, users=53424, mean_per_user=1.2051
primary_ Horror | K=35 | ORIGINAL: total=122536, users=53424, mean_per_user=2.2937
primary_ Horror | K=35 | 25: total=114465, users=53424, mean_per_user=2.1426
primary_ Horror | K=35 | 50: total=110971, users=53424, mean_per_user=2.0772
primary_ Horror | K=35 | 100: total=102302, users=53424, mean_per_user=1.9149
primary_ Horror | K=35 | 200: total=91052, users=53424, mean_per_user=1.7043
primary_ Mystery | K=15 | ORIGINAL: total=170938, users=53424, mean_per_user=3.1996
primary_ Mystery | K=15 | 25: total=161215, users=53424, mean_per_user=3.0177
primary_ Mystery | K=15 | 50: total=150748, users=53424, mean_per_user=2.8217
primary_ Mystery | K=15 | 100: total=142510, users=53424, mean_per_user=2.6675
primary_ Mystery | K=15 | 200: total=126978, users=53424, mean_per_user=2.3768
primary_ Mystery | K=25 | ORIGINAL: total=284497, users=53424, mean_per_user=5.3253
primary_ Mystery | K=25 | 25: total=268890, users=53424, mean_per_user=5.0331
primary_ Mystery | K=25 | 50: total=253052, users=53424, mean_per_user=4.7367
primary_ Mystery | K=25 | 100: total=239751, users=53424, mean_per_user=4.4877
primary_ Mystery | K=25 | 200: total=214820, users=53424, mean_per_user=4.0210
primary_ Mystery | K=35 | ORIGINAL: total=398084, users=53424, mean_per_user=7.4514
primary_ Mystery | K=35 | 25: total=377072, users=53424, mean_per_user=7.0581
primary_ Mystery | K=35 | 50: total=356970, users=53424, mean_per_user=6.6818
primary_ Mystery | K=35 | 100: total=338621, users=53424, mean_per_user=6.3384
primary_ Mystery | K=35 | 200: total=304518, users=53424, mean_per_user=5.7000
primary_ Nonfiction | K=15 | ORIGINAL: total=123760, users=53424, mean_per_user=2.3166
primary_ Nonfiction | K=15 | 25: total=105460, users=53424, mean_per_user=1.9740
primary_ Nonfiction | K=15 | 50: total=95082, users=53424, mean_per_user=1.7798
primary_ Nonfiction | K=15 | 100: total=81921, users=53424, mean_per_user=1.5334
primary_ Nonfiction | K=15 | 200: total=63329, users=53424, mean_per_user=1.1854
primary_ Nonfiction | K=25 | ORIGINAL: total=205236, users=53424, mean_per_user=3.8416
primary_ Nonfiction | K=25 | 25: total=177624, users=53424, mean_per_user=3.3248
primary_ Nonfiction | K=25 | 50: total=161743, users=53424, mean_per_user=3.0275
primary_ Nonfiction | K=25 | 100: total=140453, users=53424, mean_per_user=2.6290
primary_ Nonfiction | K=25 | 200: total=109980, users=53424, mean_per_user=2.0586
primary_ Nonfiction | K=35 | ORIGINAL: total=286516, users=53424, mean_per_user=5.3631
primary_ Nonfiction | K=35 | 25: total=249898, users=53424, mean_per_user=4.6776
primary_ Nonfiction | K=35 | 50: total=229083, users=53424, mean_per_user=4.2880
primary_ Nonfiction | K=35 | 100: total=200331, users=53424, mean_per_user=3.7498
primary_ Nonfiction | K=35 | 200: total=158786, users=53424, mean_per_user=2.9722
primary_ Romance | K=15 | ORIGINAL: total=142346, users=53424, mean_per_user=2.6645
primary_ Romance | K=15 | 25: total=123081, users=53424, mean_per_user=2.3039
primary_ Romance | K=15 | 50: total=118165, users=53424, mean_per_user=2.2118
primary_ Romance | K=15 | 100: total=100362, users=53424, mean_per_user=1.8786
primary_ Romance | K=15 | 200: total=74707, users=53424, mean_per_user=1.3984
primary_ Romance | K=25 | ORIGINAL: total=237108, users=53424, mean_per_user=4.4382
primary_ Romance | K=25 | 25: total=208214, users=53424, mean_per_user=3.8974
primary_ Romance | K=25 | 50: total=199884, users=53424, mean_per_user=3.7415
primary_ Romance | K=25 | 100: total=172791, users=53424, mean_per_user=3.2343
primary_ Romance | K=25 | 200: total=130473, users=53424, mean_per_user=2.4422
primary_ Romance | K=35 | ORIGINAL: total=330277, users=53424, mean_per_user=6.1822
primary_ Romance | K=35 | 25: total=293779, users=53424, mean_per_user=5.4990
primary_ Romance | K=35 | 50: total=282251, users=53424, mean_per_user=5.2832
primary_ Romance | K=35 | 100: total=246887, users=53424, mean_per_user=4.6213
primary_ Romance | K=35 | 200: total=189816, users=53424, mean_per_user=3.5530
primary_ Science Fiction | K=15 | ORIGINAL: total=75385, users=53424, mean_per_user=1.4111
primary_ Science Fiction | K=15 | 25: total=64086, users=53424, mean_per_user=1.1996
primary_ Science Fiction | K=15 | 50: total=60839, users=53424, mean_per_user=1.1388
primary_ Science Fiction | K=15 | 100: total=50132, users=53424, mean_per_user=0.9384
primary_ Science Fiction | K=15 | 200: total=38984, users=53424, mean_per_user=0.7297
primary_ Science Fiction | K=25 | ORIGINAL: total=124751, users=53424, mean_per_user=2.3351
primary_ Science Fiction | K=25 | 25: total=107614, users=53424, mean_per_user=2.0143
primary_ Science Fiction | K=25 | 50: total=102074, users=53424, mean_per_user=1.9106
primary_ Science Fiction | K=25 | 100: total=86198, users=53424, mean_per_user=1.6135
primary_ Science Fiction | K=25 | 200: total=67500, users=53424, mean_per_user=1.2635
primary_ Science Fiction | K=35 | ORIGINAL: total=174360, users=53424, mean_per_user=3.2637
primary_ Science Fiction | K=35 | 25: total=151703, users=53424, mean_per_user=2.8396
primary_ Science Fiction | K=35 | 50: total=144172, users=53424, mean_per_user=2.6986
primary_ Science Fiction | K=35 | 100: total=122974, users=53424, mean_per_user=2.3018
primary_ Science Fiction | K=35 | 200: total=97104, users=53424, mean_per_user=1.8176
primary_ Thriller | K=15 | ORIGINAL: total=92390, users=53424, mean_per_user=1.7294
primary_ Thriller | K=15 | 25: total=87787, users=53424, mean_per_user=1.6432
primary_ Thriller | K=15 | 50: total=85319, users=53424, mean_per_user=1.5970
primary_ Thriller | K=15 | 100: total=84098, users=53424, mean_per_user=1.5742
primary_ Thriller | K=15 | 200: total=77359, users=53424, mean_per_user=1.4480
primary_ Thriller | K=25 | ORIGINAL: total=155373, users=53424, mean_per_user=2.9083
primary_ Thriller | K=25 | 25: total=148109, users=53424, mean_per_user=2.7723
primary_ Thriller | K=25 | 50: total=144978, users=53424, mean_per_user=2.7137
primary_ Thriller | K=25 | 100: total=141976, users=53424, mean_per_user=2.6575
primary_ Thriller | K=25 | 200: total=131369, users=53424, mean_per_user=2.4590
primary_ Thriller | K=35 | ORIGINAL: total=218795, users=53424, mean_per_user=4.0954
primary_ Thriller | K=35 | 25: total=209357, users=53424, mean_per_user=3.9188
primary_ Thriller | K=35 | 50: total=205449, users=53424, mean_per_user=3.8456
primary_ Thriller | K=35 | 100: total=200726, users=53424, mean_per_user=3.7572
primary_ Thriller | K=35 | 200: total=185796, users=53424, mean_per_user=3.4778
