Cluster 0 - Average Entropy per Bin (0_40_80_120_1920)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1920	rec_entropy_80_1920	rec_entropy_120_1920
1	31	0.0000	0.0793	0.0793	0.0649	0.0649
2	31	0.0000	0.0757	0.0757	0.0793	0.0793
3	31	0.0000	0.0523	0.0523	0.0576	0.0576
4	31	0.0000	0.0648	0.0703	0.0541	0.0594
5	31	0.0000	0.0685	0.0685	0.0629	0.0629
6	31	0.0389	0.1112	0.1165	0.1112	0.1112
7	31	0.1117	0.1634	0.1634	0.1494	0.1494
8	31	0.1452	0.1386	0.1440	0.1440	0.1440
9	31	0.1817	0.2621	0.2621	0.2480	0.2480
10	36	0.2510	0.2124	0.2079	0.2019	0.2049
