K=15 | ORIGINAL: 100.00%
K=15 | n25: 95.29%
K=15 | n50: 91.53%
K=15 | n100: 84.02%
K=15 | n200: 77.39%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 95.56%
K=25 | n50: 92.02%
K=25 | n100: 85.21%
K=25 | n200: 78.33%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 95.69%
K=35 | n50: 92.47%
K=35 | n100: 86.04%
K=35 | n200: 78.81%
