Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Mystery,ORIGINAL,15,3.801999,5.787566,3.963162
Mystery,25,15,3.795204,5.737171,4.004113
Mystery,50,15,3.699929,5.670845,4.045842
Mystery,100,15,4.176344,5.741979,4.028359
Mystery,200,15,3.251872,5.587891,4.024950
Mystery,ORIGINAL,25,6.115042,5.662547,4.000037
Mystery,25,25,6.431304,5.605382,4.038392
Mystery,50,25,6.320249,5.561431,4.070762
Mystery,100,25,6.767969,5.619942,4.052467
Mystery,200,25,5.593535,5.486322,4.057395
Mystery,ORIGINAL,35,8.361411,5.577676,4.022229
Mystery,25,35,9.077287,5.519858,4.058619
Mystery,50,35,8.926831,5.487972,4.083371
Mystery,100,35,9.362440,5.536852,4.068334
Mystery,200,35,7.988788,5.416779,4.075048
