K=15 | ORIGINAL: 100.00%
K=15 | n25: 156.58%
K=15 | n50: 134.58%
K=15 | n100: 115.59%
K=15 | n200: 79.81%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 154.06%
K=25 | n50: 134.51%
K=25 | n100: 118.39%
K=25 | n200: 84.91%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 152.41%
K=35 | n50: 134.75%
K=35 | n100: 119.92%
K=35 | n200: 88.37%
