Cluster 1 - Average Entropy per Bin (top15_0_40_80_120)
Bin	UserCount	rec_entropy_top15_df_0	rec_entropy_top15_df_40	rec_entropy_top15_df_80	rec_entropy_top15_df_120
1	31	0.2619	0.2420	0.2393	0.2127
2	31	0.5671	0.5668	0.5385	0.5314
3	31	0.6800	0.7015	0.6705	0.6800
4	31	0.6663	0.7608	0.7430	0.7323
5	31	0.7826	0.7552	0.7719	0.7814
6	31	0.8442	0.8130	0.7936	0.7974
7	31	0.8908	0.8124	0.7941	0.8299
8	31	0.9654	0.9794	0.9860	0.9969
9	31	1.0047	0.9835	0.9974	1.0091
10	35	1.0585	1.0167	0.9980	1.0087
