Cluster 1 - Average Entropy per Bin (top25_0_40_80_120)
Bin	UserCount	rec_entropy_top25_df_0	rec_entropy_top25_df_40	rec_entropy_top25_df_80	rec_entropy_top25_df_120
1	31	0.3363	0.3484	0.3215	0.3215
2	31	0.6167	0.6251	0.6344	0.6487
3	31	0.8012	0.7812	0.7663	0.7582
4	31	0.8085	0.8004	0.8157	0.8119
5	31	0.8428	0.8438	0.8300	0.8175
6	31	0.9293	0.9236	0.9487	0.9520
7	31	0.9297	0.9161	0.9162	0.9147
8	31	1.0126	1.0202	1.0073	1.0022
9	31	1.0325	1.0650	1.0484	1.0426
10	35	1.1242	1.0996	1.0916	1.0958
