Cluster 0 - Average Entropy per Bin (top35_0_40_80_120)
Bin	UserCount	rec_entropy_top35_df_0	rec_entropy_top35_df_40	rec_entropy_top35_df_80	rec_entropy_top35_df_120
1	31	0.1407	0.1007	0.0965	0.0952
2	31	0.1351	0.1157	0.1087	0.1087
3	31	0.1459	0.1257	0.1046	0.0908
4	31	0.1013	0.0835	0.0877	0.0877
5	31	0.1206	0.1114	0.1156	0.1198
6	31	0.1474	0.1590	0.1283	0.1325
7	31	0.1495	0.1507	0.1535	0.1494
8	31	0.1825	0.1508	0.1741	0.1671
9	31	0.2696	0.2580	0.2599	0.2627
10	36	0.2961	0.2651	0.2706	0.2724
