enhanced_ Fantasy | K=15 | 50: total=126172, users=53424, mean_per_user=2.3617
enhanced_ Fantasy | K=15 | 100: total=104378, users=53424, mean_per_user=1.9538
enhanced_ Fantasy | K=15 | 200: total=73507, users=53424, mean_per_user=1.3759
enhanced_ Fantasy | K=25 | ORIGINAL: total=261578, users=53424, mean_per_user=4.8963
enhanced_ Fantasy | K=25 | 25: total=236454, users=53424, mean_per_user=4.4260
enhanced_ Fantasy | K=25 | 50: total=215342, users=53424, mean_per_user=4.0308
enhanced_ Fantasy | K=25 | 100: total=180637, users=53424, mean_per_user=3.3812
enhanced_ Fantasy | K=25 | 200: total=131282, users=53424, mean_per_user=2.4574
enhanced_ Fantasy | K=35 | ORIGINAL: total=368910, users=53424, mean_per_user=6.9053
enhanced_ Fantasy | K=35 | 25: total=334063, users=53424, mean_per_user=6.2531
enhanced_ Fantasy | K=35 | 50: total=306007, users=53424, mean_per_user=5.7279
enhanced_ Fantasy | K=35 | 100: total=259862, users=53424, mean_per_user=4.8641
enhanced_ Fantasy | K=35 | 200: total=192972, users=53424, mean_per_user=3.6121
enhanced_ Historical | K=15 | ORIGINAL: total=93870, users=53424, mean_per_user=1.7571
enhanced_ Historical | K=15 | 25: total=81148, users=53424, mean_per_user=1.5189
enhanced_ Historical | K=15 | 50: total=72985, users=53424, mean_per_user=1.3661
enhanced_ Historical | K=15 | 100: total=59886, users=53424, mean_per_user=1.1210
enhanced_ Historical | K=15 | 200: total=43093, users=53424, mean_per_user=0.8066
enhanced_ Historical | K=25 | ORIGINAL: total=154507, users=53424, mean_per_user=2.8921
enhanced_ Historical | K=25 | 25: total=133743, users=53424, mean_per_user=2.5034
enhanced_ Historical | K=25 | 50: total=121251, users=53424, mean_per_user=2.2696
enhanced_ Historical | K=25 | 100: total=101443, users=53424, mean_per_user=1.8988
enhanced_ Historical | K=25 | 200: total=74596, users=53424, mean_per_user=1.3963
enhanced_ Historical | K=35 | ORIGINAL: total=214187, users=53424, mean_per_user=4.0092
enhanced_ Historical | K=35 | 25: total=186377, users=53424, mean_per_user=3.4886
enhanced_ Historical | K=35 | 50: total=169879, users=53424, mean_per_user=3.1798
enhanced_ Historical | K=35 | 100: total=143689, users=53424, mean_per_user=2.6896
enhanced_ Historical | K=35 | 200: total=107255, users=53424, mean_per_user=2.0076
enhanced_ Horror | K=15 | ORIGINAL: total=53076, users=53424, mean_per_user=0.9935
enhanced_ Horror | K=15 | 25: total=46397, users=53424, mean_per_user=0.8685
enhanced_ Horror | K=15 | 50: total=43166, users=53424, mean_per_user=0.8080
enhanced_ Horror | K=15 | 100: total=35477, users=53424, mean_per_user=0.6641
enhanced_ Horror | K=15 | 200: total=24500, users=53424, mean_per_user=0.4586
enhanced_ Horror | K=25 | ORIGINAL: total=87615, users=53424, mean_per_user=1.6400
enhanced_ Horror | K=25 | 25: total=77212, users=53424, mean_per_user=1.4453
enhanced_ Horror | K=25 | 50: total=72080, users=53424, mean_per_user=1.3492
enhanced_ Horror | K=25 | 100: total=60162, users=53424, mean_per_user=1.1261
enhanced_ Horror | K=25 | 200: total=42697, users=53424, mean_per_user=0.7992
enhanced_ Horror | K=35 | ORIGINAL: total=122536, users=53424, mean_per_user=2.2937
enhanced_ Horror | K=35 | 25: total=108439, users=53424, mean_per_user=2.0298
enhanced_ Horror | K=35 | 50: total=101809, users=53424, mean_per_user=1.9057
enhanced_ Horror | K=35 | 100: total=85731, users=53424, mean_per_user=1.6047
enhanced_ Horror | K=35 | 200: total=61912, users=53424, mean_per_user=1.1589
enhanced_ Mystery | K=15 | ORIGINAL: total=170938, users=53424, mean_per_user=3.1996
enhanced_ Mystery | K=15 | 25: total=148257, users=53424, mean_per_user=2.7751
enhanced_ Mystery | K=15 | 50: total=134377, users=53424, mean_per_user=2.5153
enhanced_ Mystery | K=15 | 100: total=113594, users=53424, mean_per_user=2.1263
enhanced_ Mystery | K=15 | 200: total=80012, users=53424, mean_per_user=1.4977
enhanced_ Mystery | K=25 | ORIGINAL: total=284497, users=53424, mean_per_user=5.3253
enhanced_ Mystery | K=25 | 25: total=249096, users=53424, mean_per_user=4.6626
enhanced_ Mystery | K=25 | 50: total=228510, users=53424, mean_per_user=4.2773
enhanced_ Mystery | K=25 | 100: total=195894, users=53424, mean_per_user=3.6668
enhanced_ Mystery | K=25 | 200: total=140791, users=53424, mean_per_user=2.6354
enhanced_ Mystery | K=35 | ORIGINAL: total=398084, users=53424, mean_per_user=7.4514
enhanced_ Mystery | K=35 | 25: total=351260, users=53424, mean_per_user=6.5749
enhanced_ Mystery | K=35 | 50: total=323151, users=53424, mean_per_user=6.0488
enhanced_ Mystery | K=35 | 100: total=281055, users=53424, mean_per_user=5.2608
enhanced_ Mystery | K=35 | 200: total=205376, users=53424, mean_per_user=3.8443
enhanced_ Nonfiction | K=15 | ORIGINAL: total=123760, users=53424, mean_per_user=2.3166
enhanced_ Nonfiction | K=15 | 25: total=102606, users=53424, mean_per_user=1.9206
enhanced_ Nonfiction | K=15 | 50: total=92945, users=53424, mean_per_user=1.7398
enhanced_ Nonfiction | K=15 | 100: total=74625, users=53424, mean_per_user=1.3968
enhanced_ Nonfiction | K=15 | 200: total=49604, users=53424, mean_per_user=0.9285
enhanced_ Nonfiction | K=25 | ORIGINAL: total=205236, users=53424, mean_per_user=3.8416
enhanced_ Nonfiction | K=25 | 25: total=172859, users=53424, mean_per_user=3.2356
enhanced_ Nonfiction | K=25 | 50: total=158166, users=53424, mean_per_user=2.9606
enhanced_ Nonfiction | K=25 | 100: total=129104, users=53424, mean_per_user=2.4166
enhanced_ Nonfiction | K=25 | 200: total=88910, users=53424, mean_per_user=1.6642
enhanced_ Nonfiction | K=35 | ORIGINAL: total=286516, users=53424, mean_per_user=5.3631
enhanced_ Nonfiction | K=35 | 25: total=242864, users=53424, mean_per_user=4.5460
enhanced_ Nonfiction | K=35 | 50: total=223839, users=53424, mean_per_user=4.1899
enhanced_ Nonfiction | K=35 | 100: total=185700, users=53424, mean_per_user=3.4760
enhanced_ Nonfiction | K=35 | 200: total=130937, users=53424, mean_per_user=2.4509
enhanced_ Romance | K=15 | ORIGINAL: total=142346, users=53424, mean_per_user=2.6645
enhanced_ Romance | K=15 | 25: total=113803, users=53424, mean_per_user=2.1302
enhanced_ Romance | K=15 | 50: total=107236, users=53424, mean_per_user=2.0073
enhanced_ Romance | K=15 | 100: total=87789, users=53424, mean_per_user=1.6433
enhanced_ Romance | K=15 | 200: total=59458, users=53424, mean_per_user=1.1129
enhanced_ Romance | K=25 | ORIGINAL: total=237108, users=53424, mean_per_user=4.4382
enhanced_ Romance | K=25 | 25: total=193404, users=53424, mean_per_user=3.6202
enhanced_ Romance | K=25 | 50: total=183464, users=53424, mean_per_user=3.4341
enhanced_ Romance | K=25 | 100: total=152147, users=53424, mean_per_user=2.8479
enhanced_ Romance | K=25 | 200: total=106726, users=53424, mean_per_user=1.9977
enhanced_ Romance | K=35 | ORIGINAL: total=330277, users=53424, mean_per_user=6.1822
enhanced_ Romance | K=35 | 25: total=273960, users=53424, mean_per_user=5.1280
enhanced_ Romance | K=35 | 50: total=260872, users=53424, mean_per_user=4.8830
enhanced_ Romance | K=35 | 100: total=219233, users=53424, mean_per_user=4.1036
enhanced_ Romance | K=35 | 200: total=157642, users=53424, mean_per_user=2.9508
enhanced_ Science Fiction | K=15 | ORIGINAL: total=75385, users=53424, mean_per_user=1.4111
enhanced_ Science Fiction | K=15 | 25: total=63611, users=53424, mean_per_user=1.1907
enhanced_ Science Fiction | K=15 | 50: total=57203, users=53424, mean_per_user=1.0707
enhanced_ Science Fiction | K=15 | 100: total=46735, users=53424, mean_per_user=0.8748
enhanced_ Science Fiction | K=15 | 200: total=33378, users=53424, mean_per_user=0.6248
enhanced_ Science Fiction | K=25 | ORIGINAL: total=124751, users=53424, mean_per_user=2.3351
enhanced_ Science Fiction | K=25 | 25: total=106873, users=53424, mean_per_user=2.0005
enhanced_ Science Fiction | K=25 | 50: total=96548, users=53424, mean_per_user=1.8072
enhanced_ Science Fiction | K=25 | 100: total=79805, users=53424, mean_per_user=1.4938
enhanced_ Science Fiction | K=25 | 200: total=59073, users=53424, mean_per_user=1.1057
enhanced_ Science Fiction | K=35 | ORIGINAL: total=174360, users=53424, mean_per_user=3.2637
enhanced_ Science Fiction | K=35 | 25: total=150347, users=53424, mean_per_user=2.8142
enhanced_ Science Fiction | K=35 | 50: total=136918, users=53424, mean_per_user=2.5629
enhanced_ Science Fiction | K=35 | 100: total=114060, users=53424, mean_per_user=2.1350
enhanced_ Science Fiction | K=35 | 200: total=86313, users=53424, mean_per_user=1.6156
enhanced_ Thriller | K=15 | ORIGINAL: total=92390, users=53424, mean_per_user=1.7294
enhanced_ Thriller | K=15 | 25: total=78291, users=53424, mean_per_user=1.4655
enhanced_ Thriller | K=15 | 50: total=69267, users=53424, mean_per_user=1.2966
enhanced_ Thriller | K=15 | 100: total=55586, users=53424, mean_per_user=1.0405
enhanced_ Thriller | K=15 | 200: total=37656, users=53424, mean_per_user=0.7049
enhanced_ Thriller | K=25 | ORIGINAL: total=155373, users=53424, mean_per_user=2.9083
enhanced_ Thriller | K=25 | 25: total=133639, users=53424, mean_per_user=2.5015
enhanced_ Thriller | K=25 | 50: total=119100, users=53424, mean_per_user=2.2293
enhanced_ Thriller | K=25 | 100: total=97826, users=53424, mean_per_user=1.8311
enhanced_ Thriller | K=25 | 200: total=68410, users=53424, mean_per_user=1.2805
enhanced_ Thriller | K=35 | ORIGINAL: total=218795, users=53424, mean_per_user=4.0954
enhanced_ Thriller | K=35 | 25: total=190240, users=53424, mean_per_user=3.5609
enhanced_ Thriller | K=35 | 50: total=170457, users=53424, mean_per_user=3.1906
enhanced_ Thriller | K=35 | 100: total=142161, users=53424, mean_per_user=2.6610
enhanced_ Thriller | K=35 | 200: total=101425, users=53424, mean_per_user=1.8985
