K=15 | ORIGINAL: 100.00%
K=15 | n25: 87.31%
K=15 | n50: 84.88%
K=15 | n100: 68.12%
K=15 | n200: 52.68%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 88.69%
K=25 | n50: 85.96%
K=25 | n100: 70.08%
K=25 | n200: 55.68%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 89.55%
K=35 | n50: 87.01%
K=35 | n100: 71.85%
K=35 | n200: 57.53%
