K=15 | ORIGINAL: 100.00%
K=15 | n25: 138.24%
K=15 | n50: 131.41%
K=15 | n100: 113.58%
K=15 | n200: 84.29%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 137.95%
K=25 | n50: 131.57%
K=25 | n100: 115.60%
K=25 | n200: 88.12%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 137.46%
K=35 | n50: 131.48%
K=35 | n100: 116.91%
K=35 | n200: 90.60%
