K=15 | ORIGINAL unique_books: 1938
K=15 | n25 unique_books: 0
K=15 | n50 unique_books: 0
K=15 | n100 unique_books: 0
K=15 | n200 unique_books: 0

K=25 | ORIGINAL unique_books: 2038
K=25 | n25 unique_books: 0
K=25 | n50 unique_books: 0
K=25 | n100 unique_books: 0
K=25 | n200 unique_books: 0

K=35 | ORIGINAL unique_books: 2080
K=35 | n25 unique_books: 0
K=35 | n50 unique_books: 0
K=35 | n100 unique_books: 0
K=35 | n200 unique_books: 0
