Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Drama,ORIGINAL,15,4.927018,5.796898,3.972770
Drama,25,15,4.900344,5.738247,3.996611
Drama,50,15,5.362309,5.769868,3.968791
Drama,100,15,4.671421,5.747771,3.968269
Drama,200,15,5.171065,5.720119,4.010949
Drama,ORIGINAL,25,8.096548,5.659453,4.015269
Drama,25,25,8.108135,5.618718,4.028900
Drama,50,25,8.553740,5.645387,4.001998
Drama,100,25,7.714997,5.626870,4.003492
Drama,200,25,8.470350,5.603606,4.041330
Drama,ORIGINAL,35,11.234726,5.570511,4.038165
Drama,25,35,11.270028,5.539911,4.047301
Drama,50,35,11.712901,5.561497,4.022182
Drama,100,35,10.767258,5.544885,4.024706
Drama,200,35,11.714248,5.526066,4.057789
