Cluster 1 - Top-35 Entropy per Bin
Bin	UserCount	rec_entropy_top35_final	rec_entropy_top35_240	rec_entropy_top35_528	rec_entropy_top35_1056
1	23337	2.850104	2.059078	1.068775	0.526275
2	23337	2.849043	2.046393	1.066609	0.517621
3	23337	2.851276	1.897342	1.049463	0.537019
4	23337	2.852472	1.928929	1.080939	0.560342
5	23337	2.852026	2.112230	1.144227	0.593109
6	23337	2.851844	2.010332	1.112972	0.585089
7	23337	2.854343	2.010535	1.149195	0.630110
8	23337	2.852387	2.099435	1.180019	0.646019
9	23337	2.854530	2.122416	1.217399	0.690292
10	23337	2.855647	2.049190	1.231106	0.728123
