Cluster 2 - Top-35 Entropy per Bin
Bin	UserCount	rec_entropy_top35_final	rec_entropy_top35_240	rec_entropy_top35_528	rec_entropy_top35_1056
1	23337	2.858549	2.113794	1.295942	0.790323
2	23337	2.859885	2.136078	1.347240	0.852160
3	23337	2.862062	2.171875	1.411576	0.931350
4	23337	2.864085	2.221367	1.474886	0.997587
5	23337	2.869037	2.275195	1.539931	1.072907
6	23337	2.869040	2.318425	1.598590	1.157461
7	23337	2.870495	2.365385	1.665699	1.236743
8	23337	2.871878	2.423769	1.726918	1.332146
9	23337	2.870619	2.484177	1.796092	1.420913
10	23337	2.870649	2.573906	1.868436	1.506530
