Cluster 1 - Top-15 Entropy per Bin
Bin	UserCount	rec_entropy_top15_final	rec_entropy_top15_240	rec_entropy_top15_528	rec_entropy_top15_1056
1	23337	2.374222	2.041410	1.139397	0.515767
2	23337	2.374834	2.031637	1.141049	0.506302
3	23337	2.377536	1.903879	1.113050	0.524934
4	23337	2.377927	1.927496	1.141475	0.543928
5	23337	2.376275	2.072859	1.203734	0.567036
6	23337	2.377455	1.995172	1.172147	0.563303
7	23337	2.378802	1.986864	1.196281	0.600096
8	23337	2.379086	2.050544	1.228597	0.610941
9	23337	2.379055	2.065761	1.258015	0.648537
10	23337	2.381933	1.999245	1.259896	0.682523
