Cluster 0 - Top-35 Entropy per Bin
Bin	UserCount	rec_entropy_top35_final	rec_entropy_top35_240	rec_entropy_top35_528	rec_entropy_top35_1056
1	23337	2.851410	1.481506	0.777851	0.361818
2	23337	2.849320	1.615972	0.826734	0.380094
3	23337	2.850706	1.682608	0.918188	0.433186
4	23337	2.850364	1.749556	0.925066	0.431966
5	23337	2.848885	2.000101	1.008791	0.469392
6	23337	2.849675	1.985376	0.995159	0.450453
7	23337	2.848379	1.953332	0.980621	0.447284
8	23337	2.850433	1.898207	0.995850	0.472008
9	23337	2.852410	1.811792	1.001651	0.497661
10	23338	2.851137	1.885001	1.012492	0.506585
