Cluster 2 - Average Entropy per Bin (base)
Bin	UserCount	RawEntropy	RecEnt_final	RecEnt_240	RecEnt_528	RecEnt_1056
1	2333700	2.4181	2.6882	2.1127	1.3107	0.7694
2	2333700	2.5834	2.6890	2.1253	1.3576	0.8266
3	2333700	2.7518	2.6900	2.1487	1.4110	0.9010
4	2333700	2.9073	2.6909	2.1838	1.4652	0.9607
5	2333700	3.0451	2.6964	2.2214	1.5185	1.0272
6	2333700	3.1620	2.6940	2.2519	1.5660	1.0985
7	2333700	3.2583	2.6953	2.2854	1.6198	1.1657
8	2333700	3.3352	2.6952	2.3300	1.6703	1.2486
9	2333700	3.3995	2.6948	2.3779	1.7258	1.3251
10	2333700	3.4739	2.6940	2.4514	1.7863	1.3999
