K=15 | ORIGINAL: 100.00%
K=15 | n25: 95.28%
K=15 | n50: 90.40%
K=15 | n100: 84.07%
K=15 | n200: 79.36%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 95.74%
K=25 | n50: 91.19%
K=25 | n100: 85.69%
K=25 | n200: 80.66%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 96.18%
K=35 | n50: 91.58%
K=35 | n100: 86.79%
K=35 | n200: 81.73%
