K=15 | ORIGINAL: 100.00%
K=15 | n25: 96.97%
K=15 | n50: 97.43%
K=15 | n100: 96.70%
K=15 | n200: 96.08%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 97.18%
K=25 | n50: 97.76%
K=25 | n100: 97.08%
K=25 | n200: 96.48%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 97.35%
K=35 | n50: 97.92%
K=35 | n100: 97.15%
K=35 | n200: 96.89%
