K=15 | ORIGINAL unique_books: 696
K=15 | n25 unique_books: 739
K=15 | n50 unique_books: 732
K=15 | n100 unique_books: 723
K=15 | n200 unique_books: 685

K=25 | ORIGINAL unique_books: 739
K=25 | n25 unique_books: 756
K=25 | n50 unique_books: 754
K=25 | n100 unique_books: 752
K=25 | n200 unique_books: 732

K=35 | ORIGINAL unique_books: 752
K=35 | n25 unique_books: 763
K=35 | n50 unique_books: 761
K=35 | n100 unique_books: 762
K=35 | n200 unique_books: 751
