primary_ Fantasy | K=25 | 25: total=237873, users=53424, mean_per_user=4.4525
primary_ Fantasy | K=25 | 50: total=223461, users=53424, mean_per_user=4.1828
primary_ Fantasy | K=25 | 100: total=189031, users=53424, mean_per_user=3.5383
primary_ Fantasy | K=25 | 200: total=151792, users=53424, mean_per_user=2.8413
primary_ Fantasy | K=35 | ORIGINAL: total=370780, users=53424, mean_per_user=6.9403
primary_ Fantasy | K=35 | 25: total=336459, users=53424, mean_per_user=6.2979
primary_ Fantasy | K=35 | 50: total=317829, users=53424, mean_per_user=5.9492
primary_ Fantasy | K=35 | 100: total=272185, users=53424, mean_per_user=5.0948
primary_ Fantasy | K=35 | 200: total=220188, users=53424, mean_per_user=4.1215
primary_ Historical | K=15 | ORIGINAL: total=95090, users=53424, mean_per_user=1.7799
primary_ Historical | K=15 | 25: total=86602, users=53424, mean_per_user=1.6210
primary_ Historical | K=15 | 50: total=81953, users=53424, mean_per_user=1.5340
primary_ Historical | K=15 | 100: total=75130, users=53424, mean_per_user=1.4063
primary_ Historical | K=15 | 200: total=64956, users=53424, mean_per_user=1.2159
primary_ Historical | K=25 | ORIGINAL: total=156394, users=53424, mean_per_user=2.9274
primary_ Historical | K=25 | 25: total=141979, users=53424, mean_per_user=2.6576
primary_ Historical | K=25 | 50: total=134579, users=53424, mean_per_user=2.5191
primary_ Historical | K=25 | 100: total=124681, users=53424, mean_per_user=2.3338
primary_ Historical | K=25 | 200: total=108078, users=53424, mean_per_user=2.0230
primary_ Historical | K=35 | ORIGINAL: total=216505, users=53424, mean_per_user=4.0526
primary_ Historical | K=35 | 25: total=197124, users=53424, mean_per_user=3.6898
primary_ Historical | K=35 | 50: total=187067, users=53424, mean_per_user=3.5016
primary_ Historical | K=35 | 100: total=174535, users=53424, mean_per_user=3.2670
primary_ Historical | K=35 | 200: total=151669, users=53424, mean_per_user=2.8390
primary_ Horror | K=15 | ORIGINAL: total=54994, users=53424, mean_per_user=1.0294
primary_ Horror | K=15 | 25: total=50072, users=53424, mean_per_user=0.9373
