K=15 | ORIGINAL: 100.00%
K=15 | n25: 146.94%
K=15 | n50: 127.33%
K=15 | n100: 108.92%
K=15 | n200: 81.70%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 144.72%
K=25 | n50: 127.61%
K=25 | n100: 110.46%
K=25 | n200: 84.87%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 143.51%
K=35 | n50: 127.92%
K=35 | n100: 112.08%
K=35 | n200: 87.13%
