Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Historical,ORIGINAL,15,1.066655,5.633539,4.108473
Historical,25,15,1.408019,5.630401,4.078411
Historical,50,15,1.485512,5.723261,3.964010
Historical,100,15,1.054732,5.663826,4.071325
Historical,200,15,1.270983,5.624143,4.016496
Historical,ORIGINAL,25,1.886381,5.540944,4.118156
Historical,25,25,2.369684,5.545884,4.086557
Historical,50,25,2.488208,5.614381,4.002311
Historical,100,25,1.959082,5.568479,4.091048
Historical,200,25,2.188792,5.536769,4.045273
Historical,ORIGINAL,35,2.708988,5.480907,4.119989
Historical,25,35,3.356900,5.486540,4.089739
Historical,50,35,3.525176,5.540081,4.023354
Historical,100,35,2.922469,5.502516,4.098572
Historical,200,35,3.164701,5.475709,4.056815
