K=15 | ORIGINAL: 100.00%
K=15 | n25: 88.66%
K=15 | n50: 80.32%
K=15 | n100: 67.43%
K=15 | n200: 53.11%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 89.47%
K=25 | n50: 81.67%
K=25 | n100: 69.98%
K=25 | n200: 55.58%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 90.35%
K=35 | n50: 83.01%
K=35 | n100: 71.81%
K=35 | n200: 57.57%
