K=15 | ORIGINAL: 100.00%
K=15 | n25: 89.15%
K=15 | n50: 79.61%
K=15 | n100: 69.57%
K=15 | n200: 54.10%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 89.96%
K=25 | n50: 81.64%
K=25 | n100: 72.09%
K=25 | n200: 57.07%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 90.58%
K=35 | n50: 82.92%
K=35 | n100: 73.90%
K=35 | n200: 59.18%
