K=15 | ORIGINAL: 100.00%
K=15 | n25: 89.91%
K=15 | n50: 83.31%
K=15 | n100: 69.68%
K=15 | n200: 55.16%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 90.36%
K=25 | n50: 84.89%
K=25 | n100: 71.81%
K=25 | n200: 57.66%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 90.74%
K=35 | n50: 85.72%
K=35 | n100: 73.41%
K=35 | n200: 59.39%
