K=15 | ORIGINAL: 100.00%
K=15 | n25: 148.68%
K=15 | n50: 137.36%
K=15 | n100: 111.72%
K=15 | n200: 83.24%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 145.92%
K=25 | n50: 135.95%
K=25 | n100: 113.18%
K=25 | n200: 86.46%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 144.45%
K=35 | n50: 135.14%
K=35 | n100: 114.14%
K=35 | n200: 88.59%
