Cluster 1 - Average Entropy per Bin (top35_0_40_80_120)
Bin	UserCount	rec_entropy_top35_df_0	rec_entropy_top35_df_40	rec_entropy_top35_df_80	rec_entropy_top35_df_120
1	31	0.4189	0.4094	0.3928	0.3951
2	31	0.6830	0.7127	0.6914	0.7007
3	31	0.8291	0.8146	0.8114	0.8122
4	31	0.8460	0.8553	0.8210	0.8272
5	31	0.8628	0.8653	0.8505	0.8606
6	31	0.9527	0.9933	1.0021	0.9959
7	31	0.9647	0.9382	0.9299	0.9234
8	31	1.0264	1.0421	1.0499	1.0457
9	31	1.0537	1.0891	1.0737	1.0674
10	35	1.1461	1.1356	1.1276	1.1297
