Cluster 0 - Average Entropy per Bin (top25_0_40_80_120)
Bin	UserCount	rec_entropy_top25_df_0	rec_entropy_top25_df_40	rec_entropy_top25_df_80	rec_entropy_top25_df_120
1	31	0.0793	0.0486	0.0505	0.0594
2	31	0.0757	0.0623	0.0486	0.0486
3	31	0.0523	0.0595	0.0595	0.0595
4	31	0.0648	0.0540	0.0433	0.0379
5	31	0.0685	0.0658	0.0550	0.0550
6	31	0.1112	0.1005	0.1113	0.1113
7	31	0.1634	0.1530	0.1423	0.1387
8	31	0.1386	0.1349	0.1439	0.1385
9	31	0.2621	0.2346	0.2311	0.2336
10	36	0.2124	0.2059	0.2081	0.2004
