K=15 | ORIGINAL: 100.00%
K=15 | n25: 99.01%
K=15 | n50: 91.64%
K=15 | n100: 84.38%
K=15 | n200: 73.11%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 98.56%
K=25 | n50: 92.65%
K=25 | n100: 85.00%
K=25 | n200: 75.03%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 98.60%
K=35 | n50: 93.04%
K=35 | n100: 85.60%
K=35 | n200: 76.23%
