K=15 | ORIGINAL: 100.00%
K=15 | n25: 135.64%
K=15 | n50: 128.11%
K=15 | n100: 107.88%
K=15 | n200: 81.52%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 135.19%
K=25 | n50: 128.39%
K=25 | n100: 109.84%
K=25 | n200: 85.05%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 135.04%
K=35 | n50: 128.50%
K=35 | n100: 111.29%
K=35 | n200: 87.64%
