K=15 | ORIGINAL avg_per_user: 0.886
K=15 | n25 avg_per_user: 1.085
K=15 | n50 avg_per_user: 1.069
K=15 | n100 avg_per_user: 1.116
K=15 | n200 avg_per_user: 1.118

K=25 | ORIGINAL avg_per_user: 1.603
K=25 | n25 avg_per_user: 1.823
K=25 | n50 avg_per_user: 1.807
K=25 | n100 avg_per_user: 1.891
K=25 | n200 avg_per_user: 1.865

K=35 | ORIGINAL avg_per_user: 2.337
K=35 | n25 avg_per_user: 2.571
K=35 | n50 avg_per_user: 2.574
K=35 | n100 avg_per_user: 2.680
K=35 | n200 avg_per_user: 2.627
