K=15 | ORIGINAL unique_books: 803
K=15 | n25 unique_books: 0
K=15 | n50 unique_books: 0
K=15 | n100 unique_books: 0
K=15 | n200 unique_books: 0

K=25 | ORIGINAL unique_books: 837
K=25 | n25 unique_books: 0
K=25 | n50 unique_books: 0
K=25 | n100 unique_books: 0
K=25 | n200 unique_books: 0

K=35 | ORIGINAL unique_books: 847
K=35 | n25 unique_books: 0
K=35 | n50 unique_books: 0
K=35 | n100 unique_books: 0
K=35 | n200 unique_books: 0
