K=15 | ORIGINAL avg_per_user: 1.901
K=15 | n25 avg_per_user: 1.778
K=15 | n50 avg_per_user: 1.897
K=15 | n100 avg_per_user: 1.815
K=15 | n200 avg_per_user: 1.514

K=25 | ORIGINAL avg_per_user: 3.113
K=25 | n25 avg_per_user: 2.978
K=25 | n50 avg_per_user: 3.158
K=25 | n100 avg_per_user: 3.013
K=25 | n200 avg_per_user: 2.682

K=35 | ORIGINAL avg_per_user: 4.292
K=35 | n25 avg_per_user: 4.178
K=35 | n50 avg_per_user: 4.391
K=35 | n100 avg_per_user: 4.221
K=35 | n200 avg_per_user: 3.862
