K,variant,true_count,adjusted_count,est,orig
15,original,0.601939,0.601939,5.898149,3.871235
15,n=25,0.644242,1.101939,5.872304,3.895614
15,n=50,0.704290,1.601939,6.016538,3.775432
15,n=100,0.780192,2.101939,5.789154,3.979792
15,n=200,0.614780,2.601939,5.771181,3.938573
25,original,0.940457,0.940457,5.748264,3.891511
25,n=25,0.982798,1.440457,5.733838,3.913979
25,n=50,1.024502,1.940457,5.846070,3.814974
25,n=100,1.150026,2.440457,5.695749,3.983774
25,n=200,1.002115,2.940457,5.649952,3.943424
35,original,1.246986,1.246986,5.650759,3.903468
35,n=25,1.304826,1.746986,5.640332,3.924412
35,n=50,1.324686,2.246986,5.739695,3.838499
35,n=100,1.493168,2.746986,5.625510,3.984342
35,n=200,1.381495,3.246986,5.567173,3.946695
