K=15 | ORIGINAL unique_books: 2201
K=15 | n25 unique_books: 2318
K=15 | n50 unique_books: 2293
K=15 | n100 unique_books: 2247
K=15 | n200 unique_books: 2114

K=25 | ORIGINAL unique_books: 2355
K=25 | n25 unique_books: 2431
K=25 | n50 unique_books: 2410
K=25 | n100 unique_books: 2383
K=25 | n200 unique_books: 2309

K=35 | ORIGINAL unique_books: 2429
K=35 | n25 unique_books: 2496
K=35 | n50 unique_books: 2473
K=35 | n100 unique_books: 2451
K=35 | n200 unique_books: 2395
