K=15 | ORIGINAL: 100.00%
K=15 | n25: 123.93%
K=15 | n50: 117.72%
K=15 | n100: 104.13%
K=15 | n200: 82.93%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 124.14%
K=25 | n50: 118.63%
K=25 | n100: 105.85%
K=25 | n200: 86.14%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 124.22%
K=35 | n50: 119.11%
K=35 | n100: 107.08%
K=35 | n200: 88.57%
