K=15 | ORIGINAL: 100.00%
K=15 | n25: 88.60%
K=15 | n50: 82.39%
K=15 | n100: 67.96%
K=15 | n200: 51.56%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 88.96%
K=25 | n50: 83.20%
K=25 | n100: 69.06%
K=25 | n200: 53.27%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 89.18%
K=35 | n50: 83.63%
K=35 | n100: 70.16%
K=35 | n200: 54.86%
