K=15 | ORIGINAL: 100.00%
K=15 | n25: 138.55%
K=15 | n50: 122.17%
K=15 | n100: 108.63%
K=15 | n200: 75.75%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 138.22%
K=25 | n50: 123.51%
K=25 | n100: 111.15%
K=25 | n200: 80.34%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 137.99%
K=35 | n50: 124.49%
K=35 | n100: 113.07%
K=35 | n200: 83.53%
