K=15 | ORIGINAL avg_per_user: 0.995
K=15 | n25 avg_per_user: 0.828
K=15 | n50 avg_per_user: 0.939
K=15 | n100 avg_per_user: 0.900
K=15 | n200 avg_per_user: 1.182

K=25 | ORIGINAL avg_per_user: 1.619
K=25 | n25 avg_per_user: 1.432
K=25 | n50 avg_per_user: 1.614
K=25 | n100 avg_per_user: 1.558
K=25 | n200 avg_per_user: 1.899

K=35 | ORIGINAL avg_per_user: 2.276
K=35 | n25 avg_per_user: 2.062
K=35 | n50 avg_per_user: 2.319
K=35 | n100 avg_per_user: 2.283
K=35 | n200 avg_per_user: 2.623
