K=15 | ORIGINAL: 100.00%
K=15 | n25: 97.05%
K=15 | n50: 93.75%
K=15 | n100: 89.81%
K=15 | n200: 84.62%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 97.40%
K=25 | n50: 94.42%
K=25 | n100: 90.49%
K=25 | n200: 85.69%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 97.71%
K=35 | n50: 94.82%
K=35 | n100: 91.08%
K=35 | n200: 86.58%
