K=15 | ORIGINAL: 100.00%
K=15 | n25: 142.87%
K=15 | n50: 131.70%
K=15 | n100: 112.04%
K=15 | n200: 82.10%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 142.63%
K=25 | n50: 133.06%
K=25 | n100: 114.90%
K=25 | n200: 86.40%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 142.32%
K=35 | n50: 133.35%
K=35 | n100: 116.63%
K=35 | n200: 89.16%
