K=15 | ORIGINAL: 100.00%
K=15 | n25: 140.81%
K=15 | n50: 131.46%
K=15 | n100: 110.14%
K=15 | n200: 83.07%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 139.68%
K=25 | n50: 131.55%
K=25 | n100: 112.35%
K=25 | n200: 87.00%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 138.72%
K=35 | n50: 131.23%
K=35 | n100: 113.50%
K=35 | n200: 89.30%
