K=15 | ORIGINAL: 100.00%
K=15 | n25: 134.99%
K=15 | n50: 125.96%
K=15 | n100: 104.75%
K=15 | n200: 69.71%

K=25 | ORIGINAL: 100.00%
K=25 | n25: 135.56%
K=25 | n50: 126.84%
K=25 | n100: 106.87%
K=25 | n200: 73.96%

K=35 | ORIGINAL: 100.00%
K=35 | n25: 135.78%
K=35 | n50: 127.37%
K=35 | n100: 108.98%
K=35 | n200: 77.20%
